Week Commencing,03/04/2023,,,10/04/2023,,,17/04/2023,,,24/04/2023,,,01/05/2023,,,08/05/2023,,,15/05/2023,,,22/05/2023,,,29/05/2023,,,05/06/2023,,,12/06/2023,,,19/06/2023,,,26/06/2023,,,03/07/2023,,,10/07/2023,,,17/07/2023,,,24/07/2023,,,31/07/2023,,,07/08/2023,,,14/08/2023,,,21/08/2023,,,28/08/2023,,,04/09/2023,,,11/09/2023,,,18/09/2023,,,25/09/2023,,,02/10/2023,,,09/10/2023,,,16/10/2023,,,23/10/2023,,,30/10/2023,,,06/11/2023,,,13/11/2023,,,20/11/2023,,,27/11/2023,,,04/12/2023,,,11/12/2023,,,18/12/2023,,,25/12/2023,,,01/01/2024,,,08/01/2024,,,15/01/2024,,,22/01/2024,,,29/01/2024,,,05/02/2024,,,12/02/2024,,,19/02/2024,,,26/02/2024,,,04/03/2024,,,11/03/2024,,,18/03/2024,,,25/03/2024,,,01/04/2024,,,
Health Board,Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),Incidents Conveyed,Median Turnaround Time (hh:mm:ss),90th Percentile Turnaround Time (hh:mm:ss),2023_24_median_turnaround_time_(hh:mm:ss)
Ayrshire & Arran,00:00:00,00:45:03,02:34:20,00:00:00,00:43:55,02:49:39,00:00:00,00:45:06,02:43:35,00:00:00,00:40:09,02:04:54,00:00:00,00:45:15,02:37:58,00:00:00,00:38:40,02:06:25,00:00:00,00:43:15,02:00:30,00:00:00,00:43:00,01:54:49,00:00:00,00:45:29,02:36:33,00:00:00,00:41:33,02:12:48,00:00:00,00:43:46,02:20:42,00:00:00,00:39:29,01:56:42,00:00:00,00:39:13,02:03:50,00:00:00,00:54:45,02:52:42,00:00:00,00:46:25,02:57:10,00:00:00,00:44:46,02:06:46,00:00:00,00:42:41,02:16:02,00:00:00,00:46:42,02:29:15,00:00:00,00:43:07,02:04:54,00:00:00,00:52:42,03:06:22,00:00:00,00:56:03,03:26:13,00:00:00,00:47:25,02:32:23,00:00:00,00:53:56,03:01:16,00:00:00,00:57:58,03:36:19,00:00:00,00:53:05,03:27:09,00:00:00,00:57:51,03:53:03,00:00:00,00:53:02,03:43:37,00:00:00,00:48:56,02:42:36,00:00:00,00:49:50,03:12:17,00:00:00,00:49:51,02:57:06,00:00:00,01:15:36,04:27:34,00:00:00,00:43:00,02:05:08,00:00:00,00:53:24,03:29:29,00:00:00,00:51:35,03:15:23,00:00:00,00:41:12,01:52:27,00:00:00,00:54:17,02:55:52,00:00:00,01:02:17,03:33:48,00:00:00,00:40:26,02:08:46,00:00:00,00:43:28,02:50:10,00:00:00,01:08:02,03:57:58,00:00:00,00:47:23,02:33:15,00:00:00,00:52:45,03:30:48,00:00:00,00:50:21,03:06:04,00:00:00,00:49:09,03:02:10,00:00:00,01:13:44,04:33:34,00:00:00,01:03:29,03:37:28,00:00:00,00:52:29,03:19:22,00:00:00,01:05:45,04:00:25,00:00:00,00:56:45,03:23:31,00:00:00,00:58:45,03:44:32,00:00:00,01:06:32,03:50:00,00:00:00,01:03:53,03:39:37,00:00:00,00:59:42,03:46:09,00:49:50
Borders,00:00:00,00:32:38,00:59:42,00:00:00,00:30:45,00:50:45,00:00:00,00:29:58,00:52:17,00:00:00,00:29:59,00:45:26,00:00:00,00:30:31,00:50:15,00:00:00,00:30:31,00:53:05,00:00:00,00:32:55,01:01:02,00:00:00,00:32:19,00:50:53,00:00:00,00:34:00,00:59:07,00:00:00,00:30:36,00:51:26,00:00:00,00:30:53,00:47:26,00:00:00,00:31:34,00:48:59,00:00:00,00:28:42,00:47:20,00:00:00,00:33:00,00:55:46,00:00:00,00:31:20,00:47:19,00:00:00,00:28:49,00:49:33,00:00:00,00:33:12,00:59:48,00:00:00,00:31:17,00:51:05,00:00:00,00:33:17,00:46:36,00:00:00,00:33:31,00:51:21,00:00:00,00:31:09,00:48:24,00:00:00,00:30:58,00:51:56,00:00:00,00:32:53,00:52:49,00:00:00,00:31:47,00:49:23,00:00:00,00:31:28,00:48:34,00:00:00,00:32:26,00:54:20,00:00:00,00:31:00,00:51:40,00:00:00,00:31:14,00:51:52,00:00:00,00:33:36,00:58:02,00:00:00,00:31:58,00:51:18,00:00:00,00:34:36,00:52:23,00:00:00,00:33:11,00:59:32,00:00:00,00:32:51,00:51:57,00:00:00,00:30:44,00:52:11,00:00:00,00:32:10,00:44:11,00:00:00,00:33:10,00:54:48,00:00:00,00:33:36,00:56:22,00:00:00,00:32:20,00:54:25,00:00:00,00:28:43,00:46:14,00:00:00,00:33:15,01:00:34,00:00:00,00:34:42,00:55:53,00:00:00,00:33:50,01:06:40,00:00:00,00:33:56,01:01:52,00:00:00,00:33:59,01:09:38,00:00:00,00:33:36,00:53:16,00:00:00,00:29:12,00:43:21,00:00:00,00:33:17,00:52:54,00:00:00,00:31:30,00:57:09,00:00:00,00:32:10,00:50:58,00:00:00,00:32:45,01:05:34,00:00:00,00:31:23,00:57:35,00:00:00,00:30:29,00:49:57,00:00:00,00:33:04,00:55:11,00:32:10
Dumfries & Galloway,00:00:00,00:27:45,00:56:27,00:00:00,00:31:14,01:06:03,00:00:00,00:27:28,00:49:09,00:00:00,00:28:08,00:50:50,00:00:00,00:26:22,00:53:52,00:00:00,00:26:39,00:47:59,00:00:00,00:26:59,00:48:57,00:00:00,00:25:46,00:46:13,00:00:00,00:24:00,00:43:51,00:00:00,00:28:25,00:48:53,00:00:00,00:26:21,00:52:56,00:00:00,00:27:11,00:48:37,00:00:00,00:24:40,00:40:00,00:00:00,00:24:12,00:44:03,00:00:00,00:25:07,00:44:26,00:00:00,00:26:54,00:45:35,00:00:00,00:29:53,00:57:06,00:00:00,00:26:15,00:43:45,00:00:00,00:31:06,01:04:11,00:00:00,00:29:19,00:59:00,00:00:00,00:26:34,00:47:50,00:00:00,00:24:38,00:43:21,00:00:00,00:26:53,00:50:34,00:00:00,00:26:23,00:46:30,00:00:00,00:28:19,00:58:00,00:00:00,00:29:24,00:53:42,00:00:00,00:31:24,01:06:55,00:00:00,00:31:49,01:06:41,00:00:00,00:31:57,01:10:35,00:00:00,00:28:26,00:48:16,00:00:00,00:28:42,00:46:52,00:00:00,00:28:06,00:48:39,00:00:00,00:27:11,00:53:17,00:00:00,00:27:44,00:56:19,00:00:00,00:29:33,00:56:19,00:00:00,00:32:02,01:05:26,00:00:00,00:31:58,01:03:27,00:00:00,00:25:02,00:42:55,00:00:00,00:29:57,01:08:35,00:00:00,00:32:42,01:16:52,00:00:00,00:32:24,01:11:56,00:00:00,00:29:17,00:55:14,00:00:00,00:33:22,01:07:12,00:00:00,00:26:29,00:44:05,00:00:00,00:27:41,00:45:33,00:00:00,00:27:43,00:53:48,00:00:00,00:24:35,00:42:12,00:00:00,00:28:13,01:00:10,00:00:00,00:29:16,00:54:00,00:00:00,00:29:07,01:00:33,00:00:00,00:32:43,01:15:46,00:00:00,00:29:48,00:58:23,00:00:00,00:31:34,01:18:00,00:28:08
Fife,00:00:00,00:46:18,01:40:16,00:00:00,00:49:05,02:21:01,00:00:00,00:49:36,02:33:33,00:00:00,00:37:44,01:11:44,00:00:00,00:41:48,01:26:23,00:00:00,00:50:13,02:26:49,00:00:00,00:46:30,02:02:51,00:00:00,00:43:59,01:39:38,00:00:00,00:42:47,01:24:38,00:00:00,00:41:13,01:34:52,00:00:00,00:44:49,01:42:50,00:00:00,00:45:25,01:39:02,00:00:00,00:49:26,01:51:35,00:00:00,00:41:55,01:34:54,00:00:00,00:40:05,01:09:37,00:00:00,00:39:41,01:06:57,00:00:00,00:40:43,01:17:27,00:00:00,00:40:41,01:44:11,00:00:00,00:50:15,01:59:07,00:00:00,00:38:59,01:22:26,00:00:00,00:39:19,01:14:54,00:00:00,00:42:41,01:37:59,00:00:00,00:47:03,01:47:40,00:00:00,00:49:37,02:19:52,00:00:00,00:48:43,01:52:41,00:00:00,00:50:44,02:32:28,00:00:00,00:49:51,02:28:43,00:00:00,00:44:23,01:48:35,00:00:00,00:49:29,02:09:43,00:00:00,00:48:17,02:10:57,00:00:00,00:46:30,02:20:41,00:00:00,00:44:30,02:02:57,00:00:00,00:45:04,01:48:47,00:00:00,00:45:43,01:41:21,00:00:00,00:43:10,01:29:20,00:00:00,00:46:52,02:18:15,00:00:00,00:45:21,02:21:34,00:00:00,00:39:38,01:30:12,00:00:00,00:44:02,01:51:21,00:00:00,00:45:29,02:09:31,00:00:00,00:43:37,01:38:53,00:00:00,00:46:08,02:13:49,00:00:00,00:50:53,02:24:08,00:00:00,00:41:57,01:43:17,00:00:00,00:52:11,02:25:10,00:00:00,00:49:04,02:30:45,00:00:00,00:37:45,01:22:30,00:00:00,00:47:43,01:56:44,00:00:00,00:42:47,01:23:03,00:00:00,00:44:39,01:49:13,00:00:00,00:47:15,01:55:26,00:00:00,00:44:40,01:27:07,00:00:00,00:40:34,01:25:25,00:45:04
Forth Valley,00:00:00,00:41:19,01:09:13,00:00:00,00:44:25,01:11:53,00:00:00,00:41:19,01:08:20,00:00:00,00:41:07,01:07:07,00:00:00,00:42:15,01:05:00,00:00:00,00:44:23,01:10:49,00:00:00,00:43:22,01:07:21,00:00:00,00:41:44,01:09:51,00:00:00,00:42:37,01:12:26,00:00:00,00:38:09,01:00:16,00:00:00,00:41:54,01:06:47,00:00:00,00:41:59,01:04:01,00:00:00,00:42:36,01:12:33,00:00:00,00:42:05,01:07:46,00:00:00,00:42:17,01:08:46,00:00:00,00:38:57,01:00:53,00:00:00,00:44:23,01:05:39,00:00:00,00:44:07,01:12:08,00:00:00,00:41:24,01:07:53,00:00:00,00:42:57,01:08:55,00:00:00,00:41:41,01:07:13,00:00:00,00:39:49,01:06:39,00:00:00,00:44:30,01:26:46,00:00:00,00:41:37,01:11:19,00:00:00,00:41:15,01:04:24,00:00:00,00:42:16,01:10:55,00:00:00,00:40:13,01:06:26,00:00:00,00:43:17,01:11:06,00:00:00,00:45:42,01:19:06,00:00:00,00:46:08,01:24:27,00:00:00,00:46:23,01:36:40,00:00:00,00:46:55,01:18:34,00:00:00,00:42:41,01:15:04,00:00:00,00:41:08,01:14:35,00:00:00,00:46:30,01:22:07,00:00:00,00:52:19,01:49:51,00:00:00,00:49:11,01:31:27,00:00:00,00:43:23,01:15:45,00:00:00,00:49:30,01:27:54,00:00:00,00:50:07,01:36:15,00:00:00,00:45:11,01:19:23,00:00:00,00:45:20,01:22:48,00:00:00,00:47:18,01:32:49,00:00:00,00:47:43,01:32:04,00:00:00,00:46:34,01:21:31,00:00:00,00:45:41,01:37:53,00:00:00,00:48:18,01:31:48,00:00:00,00:48:45,01:38:15,00:00:00,00:43:32,01:12:42,00:00:00,00:46:27,01:23:41,00:00:00,00:43:03,01:17:48,00:00:00,00:44:49,01:15:35,00:00:00,00:45:17,01:13:52,00:43:23
Grampian,00:00:00,00:51:59,03:05:06,00:00:00,00:54:49,02:58:46,00:00:00,00:51:04,03:02:10,00:00:00,00:44:30,02:27:37,00:00:00,00:48:59,02:26:41,00:00:00,00:51:07,02:51:47,00:00:00,00:57:50,03:29:08,00:00:00,00:46:37,03:49:55,00:00:00,00:48:30,02:47:08,00:00:00,01:01:01,03:10:25,00:00:00,00:54:32,02:48:44,00:00:00,00:55:06,02:51:50,00:00:00,00:42:56,01:57:14,00:00:00,00:41:43,01:36:30,00:00:00,00:43:37,01:43:39,00:00:00,00:42:14,01:55:52,00:00:00,01:00:08,03:13:31,00:00:00,00:46:25,03:09:46,00:00:00,00:52:33,02:32:41,00:00:00,00:44:30,02:33:41,00:00:00,00:46:23,02:29:21,00:00:00,00:51:27,02:42:41,00:00:00,00:58:29,03:39:42,00:00:00,00:56:48,03:19:37,00:00:00,00:52:33,03:06:00,00:00:00,00:53:53,02:57:12,00:00:00,00:50:14,02:59:19,00:00:00,00:48:46,02:54:31,00:00:00,00:51:16,03:38:18,00:00:00,00:56:00,03:15:40,00:00:00,01:06:28,04:01:22,00:00:00,00:50:45,03:14:38,00:00:00,00:53:28,03:20:25,00:00:00,00:53:19,03:04:31,00:00:00,01:05:37,03:47:48,00:00:00,01:24:15,05:03:31,00:00:00,01:20:00,03:58:39,00:00:00,00:43:51,02:05:00,00:00:00,00:54:23,03:16:26,00:00:00,00:57:53,03:19:14,00:00:00,00:46:49,02:29:49,00:00:00,00:48:42,02:28:03,00:00:00,01:08:39,04:15:17,00:00:00,01:13:10,04:40:02,00:00:00,00:54:07,02:26:19,00:00:00,00:56:07,03:32:00,00:00:00,01:04:21,03:51:14,00:00:00,00:53:58,03:27:36,00:00:00,00:47:05,02:50:45,00:00:00,01:02:39,03:55:09,00:00:00,00:51:07,03:33:41,00:00:00,00:51:08,03:07:29,00:00:00,00:47:42,03:29:48,00:52:33
Greater Glasgow & Clyde,00:00:00,00:48:31,01:20:25,00:00:00,00:47:55,01:28:52,00:00:00,00:48:13,01:31:38,00:00:00,00:46:30,01:19:47,00:00:00,00:49:52,01:28:48,00:00:00,00:51:38,01:40:41,00:00:00,00:45:36,01:19:16,00:00:00,00:45:08,01:16:43,00:00:00,00:46:36,01:25:02,00:00:00,00:46:48,01:23:00,00:00:00,00:47:33,01:21:25,00:00:00,00:48:04,01:21:57,00:00:00,00:46:24,01:15:29,00:00:00,00:47:00,01:21:01,00:00:00,00:46:29,01:20:41,00:00:00,00:44:14,01:17:01,00:00:00,00:44:56,01:16:41,00:00:00,00:46:29,01:21:51,00:00:00,00:47:37,01:23:37,00:00:00,00:47:02,01:24:47,00:00:00,00:46:00,01:15:40,00:00:00,00:47:08,01:26:31,00:00:00,00:46:31,01:21:01,00:00:00,00:47:05,01:20:59,00:00:00,00:45:09,01:21:44,00:00:00,00:48:37,01:23:18,00:00:00,00:45:41,01:17:24,00:00:00,00:46:50,01:26:13,00:00:00,00:46:56,01:30:03,00:00:00,00:50:41,01:40:48,00:00:00,00:48:30,01:35:58,00:00:00,00:49:36,01:31:09,00:00:00,00:49:32,01:32:18,00:00:00,00:48:28,01:29:49,00:00:00,00:46:23,01:17:50,00:00:00,00:50:38,01:38:23,00:00:00,00:51:08,01:47:50,00:00:00,00:47:11,01:27:47,00:00:00,00:43:59,01:15:41,00:00:00,00:51:26,02:09:33,00:00:00,00:48:05,01:30:56,00:00:00,00:51:20,01:46:24,00:00:00,00:51:11,01:38:14,00:00:00,00:47:23,01:26:16,00:00:00,00:45:49,01:19:48,00:00:00,00:48:00,01:20:08,00:00:00,00:49:22,01:25:35,00:00:00,00:48:02,01:17:00,00:00:00,00:47:03,01:33:47,00:00:00,00:47:13,01:24:54,00:00:00,00:46:27,01:23:13,00:00:00,00:49:00,01:24:53,00:00:00,00:46:51,01:22:59,00:47:11
Highland,00:00:00,00:29:05,01:17:09,00:00:00,00:32:26,01:29:07,00:00:00,00:28:26,01:27:03,00:00:00,00:29:55,01:23:58,00:00:00,00:31:57,01:15:24,00:00:00,00:32:45,01:31:27,00:00:00,00:29:04,01:17:51,00:00:00,00:27:17,01:20:27,00:00:00,00:35:45,01:43:49,00:00:00,00:31:22,01:24:15,00:00:00,00:32:56,01:16:23,00:00:00,00:33:30,02:01:26,00:00:00,00:33:54,01:38:45,00:00:00,00:38:23,01:56:56,00:00:00,00:29:38,01:12:42,00:00:00,00:31:58,01:26:29,00:00:00,00:33:20,02:16:57,00:00:00,00:30:30,01:21:15,00:00:00,00:34:42,02:19:41,00:00:00,00:27:19,01:11:54,00:00:00,00:29:07,01:17:58,00:00:00,00:27:04,01:13:43,00:00:00,00:27:23,00:59:52,00:00:00,00:26:23,01:14:47,00:00:00,00:25:55,00:57:32,00:00:00,00:27:25,01:05:35,00:00:00,00:30:00,01:17:46,00:00:00,00:26:05,01:02:04,00:00:00,00:33:51,01:40:50,00:00:00,00:30:09,01:21:55,00:00:00,00:25:50,00:53:22,00:00:00,00:31:59,01:31:56,00:00:00,00:26:55,01:02:55,00:00:00,00:27:48,01:07:02,00:00:00,00:25:25,00:59:14,00:00:00,00:31:33,01:31:30,00:00:00,00:29:51,01:25:14,00:00:00,00:30:45,01:18:33,00:00:00,00:29:37,01:49:35,00:00:00,00:36:05,02:17:07,00:00:00,00:31:45,02:02:51,00:00:00,00:29:12,01:43:09,00:00:00,00:31:29,01:11:10,00:00:00,00:25:21,00:50:06,00:00:00,00:26:36,01:08:42,00:00:00,00:32:56,02:25:19,00:00:00,00:32:11,01:20:55,00:00:00,00:38:42,02:08:02,00:00:00,00:33:50,02:35:06,00:00:00,00:33:42,02:21:10,00:00:00,00:28:31,01:09:40,00:00:00,00:31:57,01:26:14,00:00:00,00:27:44,01:12:58,00:30:09
