Week Commencing,03/04/2023,,,,,,10/04/2023,,,,,,17/04/2023,,,,,,24/04/2023,,,,,,01/05/2023,,,,,,08/05/2023,,,,,,15/05/2023,,,,,,22/05/2023,,,,,,29/05/2023,,,,,,05/06/2023,,,,,,12/06/2023,,,,,,19/06/2023,,,,,,26/06/2023,,,,,,03/07/2023,,,,,,10/07/2023,,,,,,17/07/2023,,,,,,24/07/2023,,,,,,31/07/2023,,,,,,07/08/2023,,,,,,14/08/2023,,,,,,21/08/2023,,,,,,28/08/2023,,,,,,04/09/2023,,,,,,11/09/2023,,,,,,18/09/2023,,,,,,25/09/2023,,,,,,02/10/2023,,,,,,09/10/2023,,,,,,16/10/2023,,,,,,23/10/2023,,,,,,30/10/2023,,,,,,06/11/2023,,,,,,13/11/2023,,,,,,20/11/2023,,,,,,27/11/2023,,,,,,04/12/2023,,,,,,11/12/2023,,,,,,18/12/2023,,,,,,25/12/2023,,,,,,01/01/2024,,,,,,08/01/2024,,,,,,15/01/2024,,,,,,22/01/2024,,,,,,29/01/2024,,,,,,05/02/2024,,,,,,12/02/2024,,,,,,19/02/2024,,,,,,26/02/2024,,,,,,04/03/2024,,,,,,11/03/2024,,,,,,18/03/2024,,,,,,25/03/2024,,,,,,01/04/2024,,,,,,,,,,
Health Board,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,Total Incidents,Total Incidents Attended,Total Incidents Conveyed,Emergency Incidents,Emergency Incidents Attended,Emergency Incidents Conveyed,num_emergency_incidents,emergency_incidents_attended,emergency_incidents_conveyed,percent_emergency_incidents_attended,percent_emergency_incidents_conveyed
Ayrshire and Arran,965,796,567,818,668,447,1053,859,623,885,711,486,1056,883,624,889,728,474,935,787,578,773,637,436,1018,853,607,867,714,478,1122,931,684,934,767,529,1011,840,638,833,680,486,1036,890,668,844,707,498,1014,866,644,837,708,497,1103,906,651,911,739,497,1066,875,630,904,729,494,996,831,592,836,690,462,1031,870,639,867,726,501,1140,925,645,958,768,500,993,818,615,832,674,477,1016,852,611,869,720,486,1105,912,662,934,762,520,1026,855,623,873,720,500,1117,919,638,946,761,489,1172,946,661,999,803,526,1127,910,643,959,769,511,1113,913,616,942,766,478,1223,940,657,1064,818,545,1113,876,611,940,734,476,1145,883,618,979,749,495,1083,820,627,927,702,513,1107,883,659,943,744,530,1082,860,656,935,740,543,1114,892,651,954,757,520,1127,877,644,959,751,523,1173,877,636,1022,756,522,1051,865,626,877,718,489,1084,858,618,922,721,491,1051,855,616,904,727,494,1087,902,623,921,759,487,1137,861,624,990,745,518,1064,797,601,922,679,493,1095,904,664,935,767,538,1146,908,644,1016,801,540,1131,857,601,1001,755,507,970,813,610,804,664,472,1101,858,630,937,723,507,1054,859,625,892,708,486,1031,834,615,860,687,481,1186,872,643,1053,775,555,1232,954,681,1078,828,565,1159,915,638,1033,808,538,1125,899,630,970,767,504,1129,931,675,957,782,535,1072,873,620,943,767,524,1159,909,651,1016,786,536,1200,923,655,1085,826,566,1116,884,607,968,756,488,49317,39247,26753,79.58,54.25
Borders,327,272,206,262,213,151,364,314,236,294,249,174,331,278,209,270,227,162,332,289,221,266,226,166,379,338,261,310,273,202,347,299,228,283,236,172,350,300,226,291,246,176,384,332,246,328,279,195,290,236,166,251,202,135,347,297,212,273,230,151,360,288,205,294,235,155,314,276,195,263,230,150,323,261,205,276,218,164,353,311,236,282,247,173,300,257,200,250,208,157,339,283,197,278,227,142,310,270,200,262,224,160,359,311,222,293,248,161,351,296,219,300,246,173,325,278,215,269,223,163,333,293,217,268,232,163,341,298,219,281,245,169,350,292,209,296,243,165,323,275,202,258,215,147,339,290,214,265,219,152,378,317,231,312,260,175,319,270,186,257,215,136,350,301,212,290,245,163,317,281,222,254,224,167,359,301,221,291,240,166,316,272,207,254,216,157,341,290,206,278,238,155,361,323,240,298,265,184,322,283,202,269,231,155,317,277,210,257,219,157,358,301,224,305,249,173,360,297,213,299,241,161,366,315,223,293,246,164,380,310,229,316,251,173,385,332,245,332,283,203,327,300,214,275,250,166,372,326,236,299,258,176,351,299,222,291,242,170,364,320,231,307,267,181,358,304,229,308,258,184,352,297,213,293,240,159,347,300,215,285,244,164,345,297,213,288,249,174,351,293,218,276,230,157,365,316,235,311,262,185,371,309,217,314,260,174,365,320,240,312,273,196,353,287,205,292,233,159,15119,12730,8812,84.2,58.28
Dumfries and Galloway,412,359,293,319,277,215,505,413,337,413,335,265,455,388,309,380,322,245,478,401,332,380,312,251,455,372,285,379,305,222,438,385,293,375,325,234,472,406,328,376,316,248,428,375,303,354,305,239,425,358,278,352,291,213,463,383,312,378,307,240,495,426,318,385,329,226,458,400,327,371,322,254,472,399,319,382,317,239,426,370,288,355,305,225,407,354,281,336,290,222,442,385,312,352,304,237,440,375,301,363,307,235,473,410,327,383,327,251,486,421,351,402,344,278,498,409,333,407,332,258,433,357,285,361,294,223,435,365,287,358,294,220,417,360,295,347,295,232,470,395,325,368,300,235,481,409,334,409,350,276,453,375,315,356,289,238,450,390,302,384,332,247,506,436,338,429,365,271,519,443,358,441,371,291,466,411,322,394,342,256,428,373,296,350,305,233,441,368,290,371,305,229,433,367,284,341,280,203,422,359,303,344,288,233,445,376,296,364,301,224,506,411,323,417,339,261,508,415,339,398,316,247,420,349,272,351,288,212,541,459,356,456,386,287,499,409,325,397,322,247,448,389,307,364,314,237,413,344,288,337,277,226,480,411,338,399,340,270,401,341,276,318,268,206,427,368,301,351,299,236,423,364,296,345,296,234,429,358,276,361,298,222,466,396,316,394,330,252,485,400,324,412,341,272,500,426,337,404,343,258,498,427,336,415,352,263,506,431,332,428,358,266,512,439,338,417,353,256,20023,16803,12860,83.92,64.23
Fife,1093,863,598,953,742,493,1039,840,576,903,721,466,1011,827,563,851,686,434,998,819,563,837,672,429,1097,906,607,967,780,493,1058,823,573,921,699,460,1036,823,571,899,699,458,1051,843,587,913,718,470,1084,877,617,941,746,496,1001,831,610,876,716,500,1129,901,618,1005,792,517,1059,828,602,938,719,502,1035,844,575,895,720,462,1110,923,620,979,805,515,1047,864,575,911,739,461,992,830,600,868,720,500,1031,846,598,910,732,493,993,811,583,865,691,475,1030,844,563,923,747,471,1080,836,555,962,731,455,989,816,551,881,724,468,1158,915,613,1026,799,507,1166,934,627,1020,803,502,1039,842,628,905,718,516,1086,884,588,930,736,454,1114,898,621,971,773,509,1103,888,641,968,770,533,1067,875,624,925,745,499,1053,874,616,913,753,502,1103,874,598,945,738,471,1074,854,592,969,771,516,1049,839,577,908,715,462,1134,920,626,975,781,501,1026,845,580,908,731,471,1065,878,623,906,743,496,1258,946,670,1138,853,586,1151,884,585,1037,806,517,1090,882,592,961,767,486,1209,954,621,1087,845,522,1230,957,613,1092,843,506,1043,885,623,876,733,479,1106,901,603,970,779,490,1202,916,611,1065,808,511,1109,910,630,951,763,491,1107,898,611,973,778,499,1201,941,619,1054,824,509,1041,856,608,907,740,495,1062,863,606,929,746,495,1159,930,628,1035,825,531,1221,980,677,1091,878,580,1150,929,644,1026,820,543,1071,876,595,949,764,490,1168,932,639,1038,818,534,50646,40265,26221,79.5,51.77
Forth Valley,782,611,438,676,523,357,745,633,451,675,567,388,739,602,444,652,524,371,754,635,464,663,550,387,708,591,437,627,519,370,826,665,500,749,596,436,716,596,445,628,514,369,713,592,434,632,520,363,762,599,443,665,516,368,766,626,465,687,558,403,759,608,427,666,526,356,762,621,441,687,556,382,742,600,433,664,537,375,751,610,457,681,555,404,720,596,458,633,518,387,742,610,430,647,517,347,787,631,472,695,554,402,787,631,465,707,559,400,738,584,435,658,516,372,753,593,426,674,524,360,809,640,477,735,578,421,760,594,441,680,519,373,881,707,503,790,636,441,697,572,418,621,496,349,740,637,466,673,571,405,767,647,482,687,573,413,753,622,465,664,546,394,720,595,441,646,534,387,710,592,448,619,511,372,778,638,478,695,572,415,790,650,502,700,570,427,761,638,480,681,572,418,837,668,489,746,591,419,737,637,471,649,560,398,746,636,486,671,574,429,809,638,476,739,587,430,793,639,466,706,568,398,800,675,500,699,590,419,871,680,501,803,628,460,866,679,526,786,611,462,748,633,453,648,545,369,757,618,470,679,545,399,891,692,508,804,620,444,766,649,492,677,571,423,772,626,450,707,570,399,844,659,486,769,597,427,815,656,502,724,581,431,775,642,460,702,579,405,770,651,493,681,570,415,793,635,462,729,583,413,793,626,444,708,561,383,846,688,503,771,625,444,785,650,456,710,578,388,36665,29661,21167,80.9,57.73
Grampian,1503,1161,751,1302,1008,612,1401,1102,683,1218,964,553,1351,1098,733,1156,942,588,1398,1146,749,1197,974,596,1462,1181,785,1235,1006,620,1439,1136,721,1242,975,573,1459,1168,769,1278,1018,630,1429,1113,705,1247,974,575,1412,1114,740,1230,954,590,1445,1120,721,1253,963,577,1498,1163,750,1317,1023,624,1477,1166,746,1284,1020,609,1377,1121,731,1177,950,567,1359,1106,716,1166,942,564,1384,1134,743,1192,980,596,1373,1110,746,1189,954,595,1409,1137,744,1228,990,614,1448,1129,720,1249,976,578,1516,1167,733,1302,1001,582,1370,1099,711,1152,926,553,1509,1164,756,1304,1006,610,1385,1123,754,1169,941,580,1498,1133,742,1313,991,617,1418,1086,708,1218,934,571,1518,1177,708,1344,1045,591,1365,1039,640,1215,928,537,1386,1075,695,1178,916,549,1432,1126,733,1239,983,602,1409,1062,681,1218,931,561,1453,1098,645,1279,972,530,1506,1150,734,1350,1046,637,1432,1133,746,1244,998,628,1515,1179,797,1318,1024,650,1495,1154,763,1308,1014,635,1471,1087,686,1283,960,572,1710,1149,735,1517,1032,631,1605,1116,717,1454,1027,633,1442,1139,750,1268,1002,627,1635,1204,796,1485,1106,708,1541,1147,725,1390,1041,626,1436,1185,757,1239,1026,607,1478,1158,788,1311,1036,675,1483,1103,746,1290,963,614,1557,1162,765,1349,1014,631,1485,1140,757,1294,993,622,1520,1170,735,1362,1053,630,1490,1133,726,1312,1009,613,1510,1161,718,1317,1022,591,1513,1201,759,1334,1067,636,1500,1148,757,1304,1004,631,1487,1111,755,1283,957,612,1475,1127,728,1281,970,586,1472,1194,758,1307,1058,634,67691,52609,31973,77.72,47.23
Greater Glasgow and Clyde,3323,2592,1941,2878,2198,1574,3016,2476,1874,2638,2147,1565,3226,2607,1965,2794,2219,1609,3287,2627,1993,2811,2205,1592,3421,2693,2031,2999,2330,1695,3319,2615,1995,2889,2246,1653,3031,2470,1889,2589,2067,1509,3221,2572,1935,2792,2188,1578,3320,2624,1960,2895,2268,1632,3326,2615,2011,2886,2229,1644,3493,2611,1930,3063,2255,1593,3245,2575,1904,2819,2213,1576,3152,2504,1910,2708,2122,1546,3229,2602,1981,2775,2198,1608,3244,2650,2019,2781,2234,1625,3006,2485,1911,2599,2118,1569,3160,2570,1899,2727,2186,1534,3248,2588,1944,2786,2179,1557,3245,2540,1935,2785,2142,1560,3225,2547,1928,2807,2196,1599,3295,2613,1985,2837,2211,1602,3365,2626,1951,2958,2298,1654,3648,2687,1985,3186,2322,1647,3302,2610,1970,2847,2208,1591,3337,2602,1958,2921,2243,1632,3298,2536,1873,2950,2254,1614,3268,2570,1973,2862,2223,1647,3281,2629,1978,2871,2268,1644,3134,2507,1898,2721,2162,1573,3311,2607,1969,2931,2287,1676,3321,2590,1981,2946,2279,1687,3404,2725,2046,2972,2358,1701,3217,2544,1959,2826,2217,1656,3272,2600,1943,2835,2228,1594,3131,2535,1961,2674,2126,1581,3402,2607,1985,2993,2274,1668,3422,2550,1890,3022,2235,1593,3477,2633,1948,3035,2287,1621,3477,2621,1992,3106,2324,1714,3638,2619,1938,3274,2340,1674,3077,2547,1915,2643,2179,1563,3307,2600,1980,2878,2244,1645,3356,2568,1967,2926,2198,1614,3286,2581,1946,2888,2245,1638,3370,2637,1950,2948,2269,1604,3358,2664,2028,2924,2280,1669,3306,2638,1983,2867,2261,1635,3399,2711,2053,2942,2306,1681,3333,2664,1976,2896,2286,1626,3382,2688,2038,2939,2302,1679,3359,2655,1953,2994,2345,1665,3462,2706,2067,3047,2352,1745,3412,2724,2016,2980,2362,1673,152660,118713,86024,77.76,56.35
Highland,1032,871,632,810,690,465,1014,853,617,765,652,428,1019,820,591,777,638,420,1050,866,628,788,650,420,1125,914,652,841,695,453,1073,890,651,824,693,467,966,803,592,742,619,423,991,816,610,767,629,429,1176,982,706,905,758,502,1115,902,646,843,699,456,1198,981,684,939,765,479,1142,897,656,888,707,476,1058,850,650,792,651,463,1054,865,647,845,691,483,1006,811,572,792,636,413,1092,857,621,841,666,441,1148,914,696,842,696,486,1108,883,639,856,674,446,1167,937,654,921,746,475,1066,852,615,813,648,429,1006,827,626,740,603,415,1047,843,618,785,634,417,1056,852,609,834,672,440,996,831,606,786,653,441,1034,851,629,774,643,434,1017,832,593,796,646,421,943,771,569,730,599,407,985,843,622,738,642,432,958,782,559,710,595,390,938,797,585,705,611,410,984,810,591,767,629,424,934,773,543,735,620,401,926,773,567,681,588,399,931,770,561,727,608,406,944,799,576,739,631,421,1017,825,589,787,647,417,988,798,585,729,592,391,1026,835,613,775,632,427,1061,857,631,836,682,467,1133,906,657,880,715,479,965,791,580,732,597,399,1007,822,626,721,594,409,1000,826,623,760,621,424,929,776,563,721,613,409,1040,870,621,799,671,434,1076,887,663,821,681,469,988,825,626,750,632,442,1038,850,643,790,652,455,1010,831,625,747,626,429,988,821,588,785,654,430,978,790,570,760,613,405,1080,884,638,819,690,452,1016,847,638,756,641,446,41806,34530,23096,82.6,55.25
Lanarkshire,1801,1445,1087,1549,1223,889,1683,1338,1015,1468,1144,840,1688,1339,1007,1469,1142,823,1699,1411,1101,1421,1163,869,1865,1477,1126,1606,1259,929,1791,1418,1100,1527,1194,892,1686,1405,1087,1384,1136,835,1724,1460,1135,1441,1200,892,1742,1420,1074,1505,1213,883,1687,1384,1067,1416,1138,836,1798,1440,1085,1533,1202,865,1748,1395,1038,1489,1155,816,1767,1418,1088,1472,1162,854,1704,1405,1104,1419,1146,870,1660,1384,1053,1388,1131,818,1666,1397,1083,1383,1137,833,1643,1377,1068,1352,1110,821,1754,1441,1107,1469,1178,865,1631,1340,1021,1366,1104,802,1755,1413,1097,1473,1168,868,1693,1365,1015,1445,1146,808,1747,1392,1060,1483,1155,846,1872,1396,1028,1630,1196,842,1708,1386,1056,1419,1126,820,1725,1354,1017,1474,1152,833,1732,1352,1001,1502,1156,823,1721,1358,1034,1507,1169,856,1772,1424,1074,1506,1195,860,1699,1398,1076,1435,1163,864,1795,1412,1089,1530,1189,883,1827,1411,1093,1555,1184,883,1632,1346,1019,1377,1128,811,1787,1432,1115,1538,1225,932,1751,1396,1059,1514,1200,875,1686,1362,1068,1443,1162,880,1784,1331,1011,1567,1155,858,1805,1355,1033,1577,1175,874,1791,1365,1042,1570,1174,870,1884,1349,1042,1685,1208,913,1867,1357,985,1657,1188,830,1648,1360,1007,1408,1154,829,1824,1394,1054,1599,1219,887,1841,1382,1038,1642,1234,905,1799,1408,1067,1549,1199,872,1820,1403,1048,1623,1239,898,1818,1413,1078,1588,1219,902,1736,1396,1065,1500,1193,880,1723,1419,1087,1487,1212,901,1781,1423,1068,1542,1228,887,1827,1450,1072,1608,1266,910,1749,1433,1098,1461,1173,862,1856,1456,1084,1623,1257,905,1760,1386,1084,1532,1192,902,79706,62536,45801,78.46,57.46
Lothian,2116,1673,1204,1819,1436,984,2126,1713,1181,1858,1472,957,2064,1683,1160,1775,1426,926,2059,1646,1178,1762,1387,935,2259,1760,1228,2000,1552,1036,2246,1726,1188,2001,1518,1003,2189,1659,1165,1947,1456,974,2234,1740,1226,1949,1484,991,2387,1793,1231,2150,1604,1058,2145,1670,1186,1877,1437,970,2345,1789,1208,2111,1610,1046,2232,1742,1188,1983,1518,983,2124,1671,1196,1854,1440,982,2240,1773,1253,1981,1550,1053,2150,1724,1231,1873,1495,1017,2111,1712,1195,1828,1467,977,2248,1766,1202,2000,1561,1011,2165,1701,1224,1911,1484,1019,2371,1801,1247,2140,1615,1077,2304,1763,1256,2024,1541,1060,2175,1699,1202,1891,1455,983,2299,1754,1196,2027,1517,983,2374,1747,1211,2114,1536,1029,2137,1677,1186,1879,1459,987,2216,1753,1258,1968,1540,1063,2186,1760,1235,1916,1524,1021,2127,1712,1230,1881,1496,1035,2130,1680,1221,1866,1456,1017,2131,1703,1192,1856,1469,983,2197,1729,1234,1931,1512,1038,2374,1841,1301,2119,1629,1103,2123,1673,1192,1867,1447,989,2253,1770,1270,1947,1514,1038,2297,1812,1264,2028,1596,1069,2308,1785,1226,2068,1591,1055,2423,1783,1216,2175,1582,1037,2472,1846,1270,2188,1625,1080,2375,1835,1260,2112,1605,1047,2491,1830,1252,2260,1653,1084,2347,1751,1173,2096,1543,990,2284,1822,1278,1979,1558,1042,2333,1832,1286,2050,1609,1086,2331,1710,1172,2088,1535,1011,2293,1822,1245,2029,1592,1033,2241,1762,1196,1969,1547,998,2292,1731,1196,2043,1547,1031,2428,1903,1273,2191,1704,1094,2407,1840,1227,2131,1640,1051,2272,1720,1186,2033,1528,1010,2349,1814,1208,2134,1645,1054,2368,1751,1206,2138,1587,1054,2273,1693,1170,2071,1541,1030,2438,1828,1242,2223,1666,1098,106111,81501,54282,76.81,51.16
