FinancialYear,FinancialYearQF,HB,HBQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,SpecialtyGrouping,SpecialtyGroupingQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,PercentageOccupancy,PercentageOccupancyQF,AllStaffedBeds,AllStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,TotalOccupiedBeds,TotalOccupiedBedsQF
2014/15,,S08000015,,A1,,General Medicine,,Medical Grouping,,256,,87.9,,93318,,224.75342465753425,,82035,
2014/15,,S08000015,,A2,,Cardiology,,Medical Grouping,,44,,95.3,,15881,,41.46027397260274,,15133,
2014/15,,S08000015,,A6,,Infectious Diseases,,Medical Grouping,,4,,86.8,,1306,,3.106849315068493,,1134,
2014/15,,S08000015,,A7,,Dermatology,,Medical Grouping,,8,,25.8,,3032,,2.1452054794520548,,783,
2014/15,,S08000015,,A8,,Endocrinology & Diabetes,,Medical Grouping,,15,,100,,5505,,15.082191780821917,,5505,
2014/15,,S08000015,,A9,,Gastroenterology,,Medical Grouping,,19,,100,,7067,,19.361643835616437,,7067,
2014/15,,S08000015,,AB,,Geriatric Medicine,,Medical Grouping,,278,,95.5,,101628,,265.9616438356164,,97076,
2014/15,,S08000015,,AD,,Medical Oncology,,Medical Grouping,,3,,22.8,,941,,0.589041095890411,,215,
2014/15,,S08000015,,AF,,Paediatrics,,Paediatrics Grouping,,40,,65.4,,14714,,26.375342465753423,,9627,
2014/15,,S08000015,,AG,,Renal Medicine,,Medical Grouping,,25,,98,,9231,,24.775342465753425,,9043,
2014/15,,S08000015,,AP,,Rehabilitation Medicine,,Medical Grouping,,16,,63.4,,5904,,10.254794520547945,,3743,
2014/15,,S08000015,,AQ,,Respiratory Medicine,,Medical Grouping,,36,,100,,13067,,35.8,,13067,
2014/15,,S08000015,,AR,,Rheumatology,,Medical Grouping,,0,,100,,168,,0.4602739726027397,,168,
2014/15,,S08000015,,C1,,General Surgery,,Surgery Grouping,,129,,89.8,,47054,,115.76438356164384,,42254,
2014/15,,S08000015,,C2,,Accident & Emergency,,Emergency Grouping,,15,,44,,5477,,6.602739726027397,,2410,
2014/15,,S08000015,,C3,,Anaesthetics,,Surgery Grouping,,8,,70.7,,2894,,5.602739726027397,,2045,
2014/15,,S08000015,,C5,,"Ear, Nose & Throat (ENT)",,Surgery Grouping,,8,,87.9,,2757,,6.641095890410959,,2424,
2014/15,,S08000015,,C7,,Ophthalmology,,Surgery Grouping,,3,,56.1,,1034,,1.5890410958904109,,580,
2014/15,,S08000015,,C8,,Trauma and Orthopaedic Surgery,,Surgery Grouping,,89,,81.3,,32324,,72.03835616438356,,26294,
2014/15,,S08000015,,C9,,Plastic Surgery,,Surgery Grouping,,0,,,z,0,,0,,0,
2014/15,,S08000015,,CA,,Paediatric Surgery,,Paediatrics Grouping,,0,,100,,1,,0.0027397260273972603,,1,
2014/15,,S08000015,,CB,,Urology,,Surgery Grouping,,25,,90.3,,9220,,22.802739726027397,,8323,
2014/15,,S08000015,,D1,,Community Dental Practice,,Dental Grouping,,0,,100,,2,,0.005479452054794521,,2,
2014/15,,S08000015,,E11,,GP Obstetrics,,Women and Newborn Grouping,,0,,100,,4,,0.010958904109589041,,4,
2014/15,,S08000015,,E12,,GP Other than Obstetrics,,Community Grouping,,67,,58.2,,24586,,39.23013698630137,,14319,
2014/15,,S08000015,,F2,,Gynaecology,,Women and Newborn Grouping,,12,,76.2,,4287,,8.953424657534246,,3268,
2014/15,,S08000015,,F3,,Obstetrics,,Women and Newborn Grouping,,36,,78.8,,13147,,28.372602739726027,,10356,
2014/15,,S08000015,,G1,,General Psychiatry (Mental Illness),,Mental Health Grouping,,121,,75.1,,44131,,90.8054794520548,,33144,
2014/15,,S08000015,,G3,,Forensic Psychiatry,,Mental Health Grouping,,17,,73.4,,6205,,12.484931506849316,,4557,
2014/15,,S08000015,,G4,,Psychiatry of Old Age,,Mental Health Grouping,,190,,53.6,,69445,,101.9013698630137,,37194,
2014/15,,S08000015,,G5,,Learning Disability,,Learning Disability Grouping,,18,,67.1,,6672,,12.265753424657534,,4477,
2014/15,,S08000015,,GLS,,Geriatric Medicine - long stay unit,,Other Grouping,,117,,76.2,,42728,,89.1917808219178,,32555,
2014/15,,S08000015,,H1,,Clinical Radiology,,Medical Grouping,,0,,,z,0,,0,,0,
2014/15,,S08000015,,H2,,Clinical Oncology,,Medical Grouping,,0,,,z,0,,0,,0,
